2048x2048 bmm 2,,,
elapsed time,power,no of threads,
elapsed time = 150.69 | seconds power is 9 | number of threads is 10 | block size is 16,,,
elapsed time = 154.03 | seconds power is 10 | number of threads is 10 | block size is 16,,,
elapsed time = 157.39 | seconds power is 11 | number of threads is 10 | block size is 16,,,
elapsed time = 160.75 | seconds power is 12 | number of threads is 10 | block size is 16,,,
elapsed time = 164.20 | seconds power is 13 | number of threads is 10 | block size is 16,,,
elapsed time = 167.53 | seconds power is 14 | number of threads is 10 | block size is 16,,,
elapsed time = 170.86 | seconds power is 15 | number of threads is 10 | block size is 16,,,
elapsed time = 174.40 | seconds power is 16 | number of threads is 10 | block size is 16,,,
elapsed time = 177.86 | seconds power is 2 | number of threads is 10 | block size is 32,,,
elapsed time = 181.24 | seconds power is 3 | number of threads is 10 | block size is 32,,,
elapsed time = 184.71 | seconds power is 4 | number of threads is 10 | block size is 32,,,
elapsed time = 188.14 | seconds power is 5 | number of threads is 10 | block size is 32,,,
elapsed time = 191.77 | seconds power is 6 | number of threads is 10 | block size is 32,,,
elapsed time = 195.19 | seconds power is 7 | number of threads is 10 | block size is 32,,,
elapsed time = 198.64 | seconds power is 8 | number of threads is 10 | block size is 32,,,
elapsed time = 202.05 | seconds power is 9 | number of threads is 10 | block size is 32,,,
elapsed time = 205.67 | seconds power is 10 | number of threads is 10 | block size is 32,,,
elapsed time = 209.02 | seconds power is 11 | number of threads is 10 | block size is 32,,,
elapsed time = 212.49 | seconds power is 12 | number of threads is 10 | block size is 32,,,
elapsed time = 215.93 | seconds power is 13 | number of threads is 10 | block size is 32,,,
elapsed time = 219.41 | seconds power is 14 | number of threads is 10 | block size is 32,,,
elapsed time = 222.84 | seconds power is 15 | number of threads is 10 | block size is 32,,,
elapsed time = 226.27 | seconds power is 16 | number of threads is 10 | block size is 32,,,
elapsed time = 229.81 | seconds power is 2 | number of threads is 10 | block size is 64,,,
elapsed time = 233.03 | seconds power is 3 | number of threads is 10 | block size is 64,,,
elapsed time = 236.37 | seconds power is 4 | number of threads is 10 | block size is 64,,,
elapsed time = 240.15 | seconds power is 5 | number of threads is 10 | block size is 64,,,
elapsed time = 244.11 | seconds power is 6 | number of threads is 10 | block size is 64,,,
elapsed time = 247.24 | seconds power is 7 | number of threads is 10 | block size is 64,,,
elapsed time = 250.61 | seconds power is 8 | number of threads is 10 | block size is 64,,,
